#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-05-23T14:51:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ628b9f383dd816	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:J/MNRAS/504/3831&tab:{J/MNRAS/504/3831/tabled1}&tab:{J/MNRAS/504/3831/tabled2}&key:source=J/MNRAS/504/3831&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/504/3831/tabled1,J/MNRAS/504/3831/tabled2
#-order=I
#-out=GALFIT
#-out=SFRS
#-out=Name
#-out=SDSS
#-out=umag
#-out=e_umag
#-out=rmag
#-out=e_rmag
#-out=2MASS
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=SimbadName
#-out=_RA
#-out=_DE
#-out=Model
#-out=Comp
#-out=Phys
#-out=n
#-out=R
#-out=Kcorr
#-out=LK
#-out=u-r
#-out=M/L
#-out=M/Lgal
#-out=M
#-out=Mgal
#-out=Method
#-out=B/T
#-out=e_B/T
#-out=Dist
#-out=Nuc
#-out=Weight
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#
#Table	J_MNRAS_504_3831_tabled2:
#Name: J/MNRAS/504/3831/tabled2
#Title: GALFIT model results for the SFRS sample
#Column	Name	(a22)	Common galaxy name	[ucd=meta.id;meta.main]
#Column	Kmag	(F5.2)	Component K-band magnitude (Vega)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	Component K-band magnitude (Vega) error	[ucd=stat.error;phot.mag]
#Column	Model	(a23)	Selected model (see definition in Sect. 4.2)	[ucd=stat.param;meta.modelled]
#Column	Comp	(a9)	Selected model component (see definition in Sect. 4.2) (1)	[ucd=stat.param]
#Column	Phys	(A5)	Physical interpretation of component (2)	[ucd=src.class]
#Column	n	(F4.1)	? Sersic index	[ucd=stat.fit.param]
#Column	R	(F5.1)	? Effective radius (for Sersic), or scale height (for exDisk)	[ucd=phys.angSize]
#Column	Kcorr	(F6.3)	K correction factor	[ucd=arith.factor;phot.mag]
#Column	LK	(D9.2)	Component K-band luminosity	[ucd=phys.luminosity;em.IR]
#Column	u-r	(F5.2)	? Component color form our decomposition (the global galaxy color is reported in Table D1)	[ucd=phot.color;em.opt.U;em.opt.R]
#Column	M/L	(F6.3)	? Component mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M/Lgal	(F6.3)	Galaxy mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M	(E9.2)	? Component mass (3)	[ucd=phys.mass]
#Column	Mgal	(E9.2)	Component mass	[ucd=phys.mass]
#Column	Method	(A6)	Decomposition method (4)	[ucd=meta.note]
#Column	B/T	(F6.3)	? Bulge-to-total ratio	[ucd=phys.luminosity;arith.ratio]
#Column	e_B/T	(F6.3)	? Bulge-to-total ratio error	[ucd=stat.error]
#Column	Dist	(E9.2)	Distance from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011)	[ucd=pos.distance]
#Column	Nuc	(a6)	Nuclear classification by Maragkoudakis et al. (2018)	[ucd=meta.code.class]
#Column	Weight	(F4.1)	Galaxy representativeness weight from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011) (5)	[ucd=stat.weight;phys.atmol.weight]
Name|Kmag|e_Kmag|Model|Comp|Phys|n|R|Kcorr|LK|u-r|M/L|M/Lgal|M|Mgal|Method|B/T|e_B/T|Dist|Nuc|Weight
NGC2543               |12.41| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.982| 8.18e+41| 2.08| 0.825| 0.914| 1.36e+09| 3.51e+10|GALFIT| 0.043| 0.010| 2.63e+07|HII   |12.1
NGC2537               | 9.24| 0.04|Sersic                 |Sersic   |disk | 0.3| 22.5| 0.996| 5.00e+42| 2.01| 0.813| 0.740| 8.18e+09| 7.44e+09|GALFIT|      |      | 1.50e+07|HII   | 3.2
IC2233                |10.73| 0.04|Sersic                 |Sersic   |disk | 1.0| 50.1| 0.998| 1.06e+42| 2.01| 0.813| 0.333| 1.73e+09| 7.09e+08|GALFIT|      |      | 1.37e+07|HII   | 1.0
IC2239                |10.41| 0.04|Sersic+psfAgn          |Sersic   |disk | 3.5|  7.3| 0.955| 5.68e+43| 2.37| 0.876| 0.883| 1.00e+11| 1.15e+11|GALFIT| 0.123| 0.041| 8.85e+07|HII   |13.2
IC2239                |12.54| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.955| 7.98e+42| 2.44| 0.889| 0.883| 1.43e+10| 1.15e+11|GALFIT| 0.123| 0.041| 8.85e+07|HII   |13.2
UGC4286               |12.97| 0.09|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.1| 0.961| 3.73e+42| 4.09| 1.257| 0.896| 9.43e+09| 4.44e+10|GALFIT| 0.151| 0.136| 7.35e+07|HII   | 3.0
UGC4286               |11.10| 0.04|Sersic+exDisk          |exDisk   |disk |    |  7.4| 0.961| 2.09e+43| 1.89| 0.792| 0.896| 3.33e+10| 4.44e+10|GALFIT| 0.151| 0.136| 7.35e+07|HII   | 3.0
UGC4306               |10.53| 0.04|Sersic                 |Sersic   |disk | 1.1|  5.5| 0.975| 8.59e+42| 2.01| 0.813| 0.927| 1.41e+10| 1.60e+10|GALFIT|      |      | 3.60e+07|HII   | 8.3
UGC4383               |11.45| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.4| 11.1| 0.974| 1.78e+43| 1.82| 0.781| 0.765| 2.80e+10| 3.04e+10|GALFIT| 0.094| 0.027| 7.93e+07|HII   | 3.0
UGC4383               |13.91| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.974| 1.85e+42| 0.82| 0.633| 0.765| 2.36e+09| 3.04e+10|GALFIT| 0.094| 0.027| 7.93e+07|HII   | 3.0
IRAS08234+1054        |13.13| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.1|  4.1| 0.864| 3.98e+43| 2.38| 0.878| 1.018| 7.03e+10| 1.06e+11|GALFIT| 0.230| 0.061| 2.73e+08|HII   | 6.6
IRAS08234+1054        |14.44| 0.09|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.864| 1.19e+43| 2.64| 0.927| 1.018| 2.22e+10| 1.06e+11|GALFIT| 0.230| 0.061| 2.73e+08|HII   | 6.6
IRAS08269+1514        |11.93| 0.08|Sersic                 |Sersic   |mixed| 6.2|  8.3| 0.888| 3.01e+43|     |      | 0.834|         | 5.05e+10|C->B/T| 0.133| 0.035| 1.34e+08|HII   | 3.0
NGC2604               |10.15| 0.04|Sersic_n4              |Sersic_n4|bulge| 4.0| 36.1| 0.981| 1.25e+43| 2.65| 0.929| 0.664| 2.34e+10| 1.67e+10|GALFIT| 1.000| 0.265| 3.63e+07|HII   | 4.7
NGC2608               | 8.64| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.5| 65.5| 0.982| 5.02e+43| 1.97| 0.806| 0.842| 8.14e+10| 8.74e+10|GALFIT| 0.030| 0.003| 3.63e+07|HII   |12.1
NGC2608               |12.43| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.982| 1.53e+42| 2.52| 0.904| 0.842| 2.78e+09| 8.74e+10|GALFIT| 0.030| 0.003| 3.63e+07|HII   |12.1
NGC2623               |11.20| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.3|  4.9| 0.944| 2.31e+43| 2.19| 0.844| 0.869| 3.92e+10| 6.28e+10|GALFIT| 0.358| 0.037| 8.16e+07|SN    |15.5
NGC2623               |11.83| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.944| 1.29e+43| 2.19| 0.844| 0.869| 2.19e+10| 6.28e+10|GALFIT| 0.358| 0.037| 8.16e+07|SN    |15.5
CGCG120-018           |12.20| 0.05|Sersic+psfAgn          |Sersic   |disk | 1.1|  4.1| 0.937| 1.59e+43| 2.30| 0.864| 0.890| 2.76e+10| 5.00e+10|GALFIT| 0.430| 0.079| 1.08e+08|HII   | 8.1
CGCG120-018           |12.51| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.937| 1.20e+43| 3.13| 1.028| 0.890| 2.48e+10| 5.00e+10|GALFIT| 0.430| 0.079| 1.08e+08|HII   | 8.1
NGC2644               |10.36| 0.04|Sersic                 |Sersic   |mixed| 1.6| 15.8| 0.991| 4.93e+42|     |      | 0.768|         | 7.61e+09|C->B/T| 0.160| 0.042| 2.50e+07|HII   | 4.6
UGC4572               |11.43| 0.08|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.8| 0.978| 1.06e+43| 2.76| 0.951| 0.862| 2.03e+10| 3.64e+10|GALFIT| 0.507| 0.133| 6.05e+07|TO    | 4.3
UGC4572               |11.46| 0.06|Sersic+exDisk          |exDisk   |disk |    |  4.8| 0.978| 1.03e+43| 1.29| 0.699| 0.862| 1.45e+10| 3.64e+10|GALFIT| 0.507| 0.133| 6.05e+07|TO    | 4.3
IRAS08512+2727        |12.08| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.8|  4.8| 0.903| 1.04e+44| 1.63| 0.750| 0.778| 1.57e+11| 1.92e+11|GALFIT| 0.149| 0.039| 2.65e+08|HII   | 1.0
IRAS08512+2727        |13.97| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.903| 1.82e+43| 3.15| 1.032| 0.778| 3.78e+10| 1.92e+11|GALFIT| 0.149| 0.039| 2.65e+08|HII   | 1.0
IRAS08538+4256        |11.61| 0.04|Sersic                 |Sersic   |mixed| 3.0|  3.4| 0.915| 3.38e+43|     |      | 0.865|         | 5.88e+10|C->B/T| 0.141| 0.037| 1.21e+08|HII   |14.2
IRAS08550+3908        |11.70| 0.06|Sersic+psfAgn          |Sersic   |disk | 3.6|  7.8| 0.719| 2.25e+44| 3.07| 1.015| 0.864| 4.60e+11| 4.14e+11|GALFIT| 0.056| 0.015| 3.68e+08|SN    | 1.5
IRAS08550+3908        |14.77| 0.10|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.719| 1.33e+43| 3.45| 1.099| 0.864| 2.94e+10| 4.14e+11|GALFIT| 0.056| 0.015| 3.68e+08|SN    | 1.5
NGC2718               |11.60| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.2| 0.967| 8.09e+42| 1.33| 0.705| 0.819| 1.15e+10| 1.01e+11|GALFIT| 0.132| 0.019| 5.74e+07|HII   | 9.5
NGC2718               | 9.55| 0.04|Sersic+exDisk          |exDisk   |disk |    | 15.7| 0.967| 5.34e+43| 2.04| 0.818| 0.819| 8.79e+10| 1.01e+11|GALFIT| 0.132| 0.019| 5.74e+07|HII   | 9.5
NGC2712               | 8.94| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.6| 38.4| 0.988| 2.77e+43| 2.03| 0.816| 0.859| 4.55e+10| 5.02e+10|GALFIT| 0.049| 0.002| 3.09e+07|HII   |12.1
NGC2712               |12.17| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.988| 1.42e+42| 2.74| 0.947| 0.859| 2.71e+09| 5.02e+10|GALFIT| 0.049| 0.002| 3.09e+07|HII   |12.1
NGC2719               |11.76| 0.04|Sersic                 |Sersic   |disk | 1.3| 14.0| 0.996| 5.70e+42| 2.01| 0.813| 0.661| 9.32e+09| 7.58e+09|GALFIT|      |      | 5.11e+07|HII   | 4.3
IRAS08579+3447        |12.37| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.5|  4.8| 0.835| 7.80e+43| 1.84| 0.784| 0.813| 1.23e+11| 1.64e+11|GALFIT| 0.219| 0.058| 2.74e+08|HII   | 6.6
IRAS08579+3447        |13.75| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.835| 2.19e+43| 2.98| 0.996| 0.813| 4.39e+10| 1.64e+11|GALFIT| 0.219| 0.058| 2.74e+08|HII   | 6.6
NGC2731               |10.54| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.1| 10.8| 0.983| 8.12e+42| 1.47| 0.726| 0.768| 1.19e+10| 1.28e+10|GALFIT| 0.021| 0.012| 3.50e+07|HII   | 6.9
NGC2731               |14.70| 0.08|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.983| 1.76e+41| 2.55| 0.910| 0.768| 3.22e+08| 1.28e+10|GALFIT| 0.021| 0.012| 3.50e+07|HII   | 6.9
NGC2750               |10.13| 0.04|Sersic                 |Sersic   |mixed| 6.9| 14.5| 0.990| 1.33e+43|     |      | 0.749|         | 2.01e+10|C->B/T| 0.211| 0.056| 3.70e+07|HII   | 8.3
IC2434                |12.43| 0.06|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.9| 0.945| 1.22e+43| 3.15| 1.032| 0.932| 2.53e+10| 1.72e+11|GALFIT| 0.134| 0.057| 1.04e+08|TO    | 7.4
IC2434                |10.40| 0.04|Sersic+exDisk          |exDisk   |disk |    |  7.2| 0.945| 7.91e+43| 2.38| 0.878| 0.932| 1.40e+11| 1.72e+11|GALFIT| 0.134| 0.057| 1.04e+08|TO    | 7.4
NGC2761               |12.74| 0.09|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.6| 0.917| 1.27e+43| 2.96| 0.992| 0.916| 2.53e+10| 1.47e+11|GALFIT| 0.160| 0.160| 1.25e+08|HII   | 7.4
NGC2761               |10.94| 0.04|Sersic+exDisk          |exDisk   |disk |    |  5.0| 0.917| 6.68e+43| 2.07| 0.823| 0.916| 1.11e+11| 1.47e+11|GALFIT| 0.160| 0.160| 1.25e+08|HII   | 7.4
NGC2773               |10.47| 0.03|Sersic                 |Sersic   |mixed| 1.8|  5.3| 0.953| 4.43e+43|     |      | 0.901|         | 8.03e+10|C->B/T| 0.149| 0.039| 8.04e+07|HII   |13.2
NGC2776               |11.09| 0.07|Sersic+exDisk          |Sersic   |bulge| 4.0|  7.2| 0.985| 5.18e+42| 2.91| 0.981| 0.841| 1.02e+10| 5.09e+10|GALFIT| 0.172| 0.078| 3.60e+07|HII   |12.1
NGC2776               | 9.38| 0.04|Sersic+exDisk          |exDisk   |disk |    | 14.6| 0.985| 2.50e+43| 1.63| 0.750| 0.841| 3.77e+10| 5.09e+10|GALFIT| 0.172| 0.078| 3.60e+07|HII   |12.1
NGC2789               | 9.70| 0.04|Sersic+psfAgn          |Sersic   |disk | 5.0|  8.8| 0.953| 1.22e+44| 4.25| 1.299| 0.865| 3.19e+11| 2.18e+11|GALFIT| 0.025| 0.015| 9.36e+07|HII   | 3.8
NGC2789               |13.68| 0.12|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.953| 3.12e+42| 6.07| 1.903| 0.865| 1.19e+10| 2.18e+11|GALFIT| 0.025| 0.015| 9.36e+07|HII   | 3.8
NGC2824               |10.92| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.3| 0.983| 6.39e+42| 2.43| 0.887| 0.902| 1.14e+10| 2.38e+10|GALFIT| 0.489| 0.096| 3.70e+07|LINER | 2.3
NGC2824               |10.87| 0.05|Sersic+exDisk          |exDisk   |disk |    |  5.0| 0.983| 6.69e+42| 2.45| 0.891| 0.902| 1.20e+10| 2.38e+10|GALFIT| 0.489| 0.096| 3.70e+07|LINER | 2.3
IRAS09121+3908        |13.20| 0.06|Sersic+psfAgn          |Sersic   |disk | 2.1|  1.8| 0.959| 1.01e+42| 2.84| 0.967| 0.982| 1.97e+09| 2.58e+09|GALFIT| 0.227| 0.060| 4.25e+07|HII   | 3.5
IRAS09121+3908        |14.53| 0.18|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.959| 2.96e+41| 3.39| 1.085| 0.982| 6.46e+08| 2.58e+09|GALFIT| 0.227| 0.060| 4.25e+07|HII   | 3.5
IRAS09184+4356        |11.24| 0.04|Sersic_n4              |Sersic_n4|bulge| 4.0|  3.4| 0.900| 9.21e+43| 2.65| 0.929| 0.892| 1.72e+11| 1.65e+11|GALFIT| 1.000| 0.265| 1.70e+08|HII   | 4.7
CGCG238-041           |12.16| 0.09|Sersic                 |Sersic   |mixed| 3.7|  8.0| 0.947| 2.48e+43|     |      | 0.656|         | 3.27e+10|C->B/T| 0.100| 0.027| 1.32e+08|HII   | 1.0
IRAS09197+2210        |11.88| 0.04|Sersic                 |Sersic   |disk | 0.9|  6.2| 0.895| 3.61e+43| 2.01| 0.813| 0.909| 5.91e+10| 6.60e+10|GALFIT|      |      | 1.43e+08|TO    | 3.0
NGC2854               | 9.79| 0.04|Sersic+psfAgn          |Sersic   |mixed| 1.9| 17.4| 0.988| 8.30e+42|     |      | 0.830|         | 1.39e+10|C->B/T| 0.123| 0.033| 2.50e+07|TO    | 5.7
NGC2854               |13.55| 0.06|Sersic+psfAgn          |psfAgn   |AGN  |    |     | 0.988| 2.60e+41|     |      | 0.830|         | 1.39e+10|C->B/T| 0.123| 0.033| 2.50e+07|TO    | 5.7
UGC5046               |10.61| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.9|  9.1| 0.957| 2.55e+43| 1.75| 0.770| 0.749| 3.95e+10| 3.95e+10|GALFIT| 0.030| 0.017| 6.49e+07|HII   | 6.9
UGC5046               |14.37| 0.12|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.957| 7.98e+41|-0.29| 0.502| 0.749| 8.06e+08| 3.95e+10|GALFIT| 0.030| 0.017| 6.49e+07|HII   | 6.9
UGC5055               |11.45| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.5| 0.942| 3.36e+43| 2.17| 0.840| 0.824| 5.68e+10| 1.03e+11|GALFIT| 0.539| 0.074| 1.11e+08|HII   | 7.4
UGC5055               |11.62| 0.04|Sersic+exDisk          |exDisk   |disk |    |  9.5| 0.942| 2.87e+43| 1.80| 0.778| 0.824| 4.49e+10| 1.03e+11|GALFIT| 0.539| 0.074| 1.11e+08|HII   | 7.4
NGC2893               |10.49| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.6|  7.4| 0.990| 4.02e+42| 1.97| 0.806| 0.808| 6.52e+09| 7.78e+09|GALFIT| 0.164| 0.020| 2.40e+07|HII   | 5.7
NGC2893               |12.26| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.990| 7.88e+41| 1.08| 0.669| 0.808| 1.06e+09| 7.78e+09|GALFIT| 0.164| 0.020| 2.40e+07|HII   | 5.7
MCG3-24-062           |11.35| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  8.0| 0.941| 1.32e+43| 3.16| 1.034| 0.932| 2.75e+10| 4.58e+10|GALFIT| 0.541| 0.067| 6.62e+07|HII   | 5.5
MCG3-24-062           |11.53| 0.04|Sersic+exDisk          |exDisk   |disk |    |  5.8| 0.941| 1.12e+43| 2.16| 0.839| 0.932| 1.89e+10| 4.58e+10|GALFIT| 0.541| 0.067| 6.62e+07|HII   | 5.5
CGCG238-066           |11.29| 0.06|Sersic+psfAgn          |Sersic   |disk | 3.7|  7.4| 0.933| 6.81e+43| 2.09| 0.826| 0.839| 1.13e+11| 1.31e+11|GALFIT| 0.118| 0.056| 1.47e+08|SN    | 6.0
CGCG238-066           |13.47| 0.09|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.933| 9.15e+42| 4.50| 1.369| 0.839| 2.52e+10| 1.31e+11|GALFIT| 0.118| 0.056| 1.47e+08|SN    | 6.0
UGC5097               |11.22| 0.03|Sersic                 |Sersic   |disk | 1.1|  7.3| 0.980| 1.86e+43| 2.01| 0.813| 0.685| 3.04e+10| 2.56e+10|GALFIT|      |      | 7.25e+07|HII   | 8.1
